objid,ra,dec,spiral,elliptical
1237650795146445031,146.628570011888,-0.765143977025585,1,0
1237648720142336237,146.571322012569,-0.957206943582653,1,0
1237648720142336185,146.51281767756,-0.84578295276744,1,0
1237650795146248321,146.093683842779,-0.793093696168647,1,0
1237648720142139633,146.118343278755,-0.868177186102889,1,0
1237648721216143430,146.603616489947,-0.191463034874475,1,0
1237648720679272634,146.629629363229,-0.465660529958573,1,0
1237648721216143524,146.661339555413,-0.103348062531791,1,0
1237648721216078463,146.594472143017,-0.133158613969149,1,0
1237648720678944894,145.874449045454,-0.608755056278409,1,0
1237648721215946942,146.299838928994,-0.119995463758507,1,0
1237648721216012368,146.433739057145,-0.10565768248392,1,0
1237650795683250349,146.381392930289,-0.386506983977315,1,0
1237650795683250364,146.399018692115,-0.350405556634752,1,0
1237650796219924680,146.023373607279,0.0220080558935244,1,0
1237650795683053764,145.987611715411,-0.342525860632833,1,0
1237648721215815838,145.877376522395,-0.0501882157399638,1,0
1237648720678944999,145.89110682792,-0.467054721353509,1,0
1237650796219859194,145.865307498568,0.0896390088190932,1,0
1237650795146117231,145.754114381266,-0.753376726375304,1,0
1237650796219793525,145.622262640905,0.0346281843235314,1,0
1237648704023757044,145.801234298415,-0.21111036104638,1,0
1237650795145986089,145.487274514257,-0.806903952463781,1,0
1237648721215553783,145.396109890313,-0.0912212082213058,1,0
1237650796219728015,145.446709200943,0.0773970668854498,1,0
1237648722289492252,145.842920284775,0.747880795447478,1,0
1237650797293469823,145.544621670334,0.939369465005601,1,0
1237650796219728046,145.471341998382,0.155196383325004,1,0
1237648721752555616,145.556290460622,0.238524957056529,1,0
1237650796219793636,145.729432456926,0.126908720705778,1,0
1237648721752621257,145.800180149957,0.414171694392402,1,0
1237650797293797524,146.247035881694,0.924919556132646,1,0
1237650796219924616,145.939699621309,0.116911696391069,1,0
1237648721752883489,146.411858609803,0.215356493870246,1,0
1237648722289885345,146.608765886994,0.804712560013826,1,0
1237648722289885254,146.61126419407,0.693046849576431,1,0
1237651752385183960,146.798885076788,0.850533438735941,1,0
1237648721753145550,146.957655652356,0.39335310955137,1,0
1237648721753145376,146.902898425266,0.208910268160014,1,0
1237651752385315031,147.074439385566,0.885212772864989,1,0
1237651752385183972,146.84077585413,0.88622937077932,1,0
1237651800159748237,148.598646234446,-0.732283715112384,1,0
1237648720143253733,148.666898920115,-0.899090689932191,1,0
1237648720143253641,148.565587239354,-0.936092311604233,1,0
1237654669735231788,149.168590971107,-0.380506642586411,1,0
1237648721217257601,149.154579472032,-0.115701998585716,1,0
1237654669735231608,149.142427582929,-0.372420381624902,1,0
1237648720143188224,148.5090682336,-1.00351936725159,1,0
1237650795147296897,148.504456815978,-0.791651965971306,1,0
1237648720680321254,149.069458381291,-0.554990015186292,1,0
1237651800696815824,149.069371310344,-0.234000391318522,1,0
1237654669735166231,149.105306592207,-0.367428145985335,1,0
1237648720143057157,148.215609591167,-0.874781647602529,1,0
1237648720143122623,148.394539945078,-0.887741520902375,1,0
1237648720143122523,148.269459631154,-0.856689938524943,1,0
1237648720143122589,148.353524191363,-0.905034896831022,1,0
1237650795147165945,148.266866057465,-0.78331699188777,1,0
